"date","mun_code","mun_name","tests","cases","population","cases_per_100K"
2020-04-10,810,"Brønderslev",NA,33,36370,91
2020-04-10,813,"Frederikshavn",NA,13,59987,22
2020-04-10,820,"Vesthimmerlands",NA,37,37121,100
2020-04-10,825,"Læsø",NA,NA,1806,NA
2020-04-10,840,"Rebild",NA,11,29916,37
2020-04-10,846,"Mariagerfjord",NA,21,42055,50
2020-04-10,849,"Jammerbugt",NA,17,38460,44
2020-04-10,851,"Aalborg",NA,117,215312,54
2020-04-10,860,"Hjørring",NA,22,64665,34
2020-04-17,101,"København",11992,1384,623404,222
2020-04-17,147,"Frederiksberg",2100,267,103960,257
2020-04-17,151,"Ballerup",1171,120,48458,248
2020-04-17,153,"Brøndby",680,88,35397,249
2020-04-17,155,"Dragør",239,22,14270,154
2020-04-17,157,"Gentofte",1495,171,75176,227
2020-04-17,159,"Gladsaxe",1500,167,69681,240
2020-04-17,161,"Glostrup",541,88,22615,389
2020-04-17,163,"Herlev",616,71,28786,247
2020-04-17,165,"Albertslund",597,72,27877,258
2020-04-17,167,"Hvidovre",1180,166,53416,311
2020-04-17,169,"Høje-Taastrup",866,96,50686,189
2020-04-17,173,"Lyngby-Taarbæk",1132,105,55790,188
2020-04-17,175,"Rødovre",829,92,40052,230
2020-04-17,183,"Ishøj",412,47,22946,205
2020-04-17,185,"Tårnby",731,62,42984,144
2020-04-17,187,"Vallensbæk",342,62,16654,372
2020-04-17,190,"Furesø",777,55,41069,134
2020-04-17,201,"Allerød",426,20,25646,78
2020-04-17,210,"Fredensborg",731,35,40819,86
2020-04-17,217,"Helsingør",1217,88,62567,141
2020-04-17,219,"Hillerød",975,71,50998,139
2020-04-17,223,"Hørsholm",483,51,25007,204
2020-04-17,230,"Rudersdal",1070,87,56509,154
2020-04-17,240,"Egedal",889,114,43335,263
2020-04-17,250,"Frederikssund",844,53,45332,117
2020-04-17,253,"Greve",631,65,50267,129
2020-04-17,259,"Køge",759,87,60675,143
2020-04-17,260,"Halsnæs",557,26,31271,83
2020-04-17,265,"Roskilde",1178,105,87577,120
2020-04-17,269,"Solrød",304,35,23065,152
2020-04-17,270,"Gribskov",854,53,41195,129
2020-04-17,306,"Odsherred",384,25,33122,75
2020-04-17,316,"Holbæk",941,80,71297,112
2020-04-17,320,"Faxe",445,30,36513,82
2020-04-17,326,"Kalundborg",539,42,48681,86
2020-04-17,329,"Ringsted",361,29,34725,84
2020-04-17,330,"Slagelse",1406,226,79073,286
2020-04-17,336,"Stevns",260,17,22782,75
2020-04-17,340,"Sorø",400,43,29834,144
2020-04-17,350,"Lejre",378,33,27775,119
2020-04-17,360,"Lolland",583,35,41615,84
2020-04-17,370,"Næstved",1016,91,82991,110
2020-04-17,376,"Guldborgsund",678,34,60930,56
2020-04-17,390,"Vordingborg",449,17,45816,37
2020-04-17,400,"Bornholm",832,53,39572,134
2020-04-17,410,"Middelfart",582,37,38553,96
2020-04-17,411,"Christiansø",3,NA,90,NA
2020-04-17,420,"Assens",506,18,41212,44
2020-04-17,430,"Faaborg-Midtfyn",591,29,51809,56
2020-04-17,440,"Kerteminde",318,11,23773,46
2020-04-17,450,"Nyborg",418,32,32042,100
2020-04-17,461,"Odense",2798,138,204182,68
2020-04-17,479,"Svendborg",983,73,58599,125
2020-04-17,480,"Nordfyns",373,13,29693,44
2020-04-17,482,"Langeland",155,NA,12560,NA
2020-04-17,492,"Ærø",62,NA,6058,NA
2020-04-17,510,"Haderslev",485,NA,55857,NA
2020-04-17,530,"Billund",261,13,26629,49
2020-04-17,540,"Sønderborg",691,12,74561,16
2020-04-17,550,"Tønder",284,12,37587,32
2020-04-17,561,"Esbjerg",1594,107,115652,93
2020-04-17,563,"Fanø",32,NA,3404,NA
2020-04-17,573,"Varde",553,13,50129,26
2020-04-17,575,"Vejen",474,22,42863,51
2020-04-17,580,"Aabenraa",683,35,59035,59
2020-04-17,607,"Fredericia",748,35,51427,68
2020-04-17,615,"Horsens",1098,31,90370,34
2020-04-17,621,"Kolding",1377,99,92893,107
2020-04-17,630,"Vejle",1573,70,114830,61
2020-04-17,657,"Herning",1287,197,88917,222
2020-04-17,661,"Holstebro",1211,169,58504,289
2020-04-17,665,"Lemvig",184,17,19998,85
2020-04-17,671,"Struer",240,27,21143,128
2020-04-17,706,"Syddjurs",511,12,42768,28
2020-04-17,707,"Norddjurs",387,NA,37680,NA
2020-04-17,710,"Favrskov",523,24,48374,50
2020-04-17,727,"Odder",264,NA,22675,NA
2020-04-17,730,"Randers",983,23,97909,23
2020-04-17,740,"Silkeborg",1180,89,93054,96
2020-04-17,741,"Samsø",41,NA,3684,NA
2020-04-17,746,"Skanderborg",817,44,61974,71
2020-04-17,751,"Aarhus",4975,293,345332,85
2020-04-17,756,"Ikast-Brande",416,36,41282,87
2020-04-17,760,"Ringkøbing-Skjern",527,55,56930,97
2020-04-17,766,"Hedensted",477,13,46747,28
2020-04-17,773,"Morsø",252,NA,20403,NA
2020-04-17,779,"Skive",444,29,46224,63
2020-04-17,787,"Thisted",570,28,43660,64
2020-04-17,791,"Viborg",1050,61,97113,63
2020-04-17,810,"Brønderslev",550,35,36370,96
2020-04-17,813,"Frederikshavn",570,13,59987,22
2020-04-17,820,"Vesthimmerlands",578,42,37121,113
2020-04-17,825,"Læsø",11,NA,1806,NA
2020-04-17,840,"Rebild",407,11,29916,37
2020-04-17,846,"Mariagerfjord",518,23,42055,55
2020-04-17,849,"Jammerbugt",509,19,38460,49
2020-04-17,851,"Aalborg",2914,132,215312,61
2020-04-17,860,"Hjørring",819,23,64665,36
2020-04-21,101,"København",14374,1520,623404,244
2020-04-21,147,"Frederiksberg",2465,291,103960,280
2020-04-21,151,"Ballerup",1293,126,48458,260
